====================================================================================================
PHASE 3 — DATASET INTEGRITY CHECK (LABEL DUPLICATES EXCLUDED)
====================================================================================================
Total images scanned : 6958
Total labels scanned : 6957
----------------------------------------------------------------------------------------------------
❌ Missing labels (1):
C:\Users\nicho\Dokumen\Projects\FOOD\dataset\1 (tempe goreng)\images\tempe-goreng-krispy-foto-resep-utama_jpg.rf.ceb0b9fa7925f4c7b2d25f19f0b8a71f.jpg
----------------------------------------------------------------------------------------------------
❌ Missing images (0):
----------------------------------------------------------------------------------------------------
⚠ Empty label files (1):
C:\Users\nicho\Dokumen\Projects\FOOD\dataset\38 (martabak manis)\labels\apam_balik_173_jpg.rf.6b3e7991e29e6ab05f5e85dcc54f7ace.txt
----------------------------------------------------------------------------------------------------
❌ Invalid YOLO entries (370):
C:\Users\nicho\Dokumen\Projects\FOOD\dataset\12 (opor ayam)\labels\43_jpg.rf.7dac2bcf4e71f0deec92607955321cef.txt  |  16 0.35178311832061065 0.8287972447916667 0.40127953053435117 0.8345859062500001 0.6897729045801527 0.40043633854166666 0.3885518816793893 0.13415793750000002 0.0546838167938931 0.4677854895833333
C:\Users\nicho\Dokumen\Projects\FOOD\dataset\21 (ayam pop)\labels\ayam_pop-102-_jpg.rf.d7d2243836326d202ff9eee9d5fa1e51.txt  |  7 0.1625 0.016666666666666666 0.153125 0.05 0.121875 0.075 0.125 0.125 0.1375 0.15 0.18125 0.15833333333333333 0.2375 0.25833333333333336 0.325 0.19166666666666668 0.35625 0.125 0.41875 0.1125 0.453125 0.12916666666666668 0.48125 0.175 0.5125 0.10416666666666667 0.54375 0.07916666666666666 0.6 0.08333333333333333 0.703125 0.15833333333333333 0.721875 0.15833333333333333 0.709375 0.12083333333333333 0.725 0.10833333333333334 0.721875 0.075 0.753125 0.016666666666666666 0.790625 0.075 0.825 0.1875 0.925 0.30833333333333335 0.95 0.30833333333333335 0.990625 0.19583333333333333 0.94375 0.10416666666666667 0.89375 0.09166666666666666 0.85625 0.058333333333333334 0.8625 0 0.190625 0
C:\Users\nicho\Dokumen\Projects\FOOD\dataset\21 (ayam pop)\labels\ayam_pop-102-_jpg.rf.d7d2243836326d202ff9eee9d5fa1e51.txt  |  13 0.10625 0.15 0.103125 0.17916666666666667 0.128125 0.20833333333333334 0.090625 0.23333333333333334 0.06875 0.2791666666666667 0 0.2625 0 0.9958333333333333 0.04375 0.9666666666666667 0.065625 0.925 0.13125 0.9625 0.14375 0.9958333333333333 0.2125 0.9958333333333333 0.21875 0.9333333333333333 0.20625 0.8875 0.234375 0.8541666666666666 0.246875 0.8583333333333333 0.265625 0.925 0.284375 0.9458333333333333 0.309375 0.9416666666666667 0.328125 0.8375 0.353125 0.8125 0.259375 0.8 0.203125 0.7583333333333333 0.190625 0.6708333333333333 0.209375 0.6583333333333333 0.209375 0.6416666666666667 0.190625 0.6208333333333333 0.190625 0.5875 0.209375 0.5291666666666667 0.190625 0.5041666666666667 0.184375 0.44583333333333336 0.271875 0.37916666666666665 0.278125 0.35833333333333334 0.196875 0.21666666666666667 0.184375 0.17083333333333334
C:\Users\nicho\Dokumen\Projects\FOOD\dataset\21 (ayam pop)\labels\ayam_pop-105-_jpg.rf.7f6d445ec199200a65ab134a8327606c.txt  |  4 0.63 0.29 0.635 0.31875 0.6616666666666666 0.36375 0.675 0.4075 0.685 0.42 0.715 0.41625 0.78 0.38625 0.8033333333333333 0.34125 0.8033333333333333 0.325 0.7916666666666666 0.305 0.7466666666666667 0.265 0.7183333333333334 0.255 0.7133333333333334 0.2475 0.685 0.2475
C:\Users\nicho\Dokumen\Projects\FOOD\dataset\21 (ayam pop)\labels\ayam_pop-105-_jpg.rf.7f6d445ec199200a65ab134a8327606c.txt  |  7 0.7433333333333333 0.235 0.7766666666666666 0.28625 0.795 0.30375 0.8083333333333333 0.3325 0.86 0.35125 0.8716666666666667 0.36625 0.8833333333333333 0.41375 0.8633333333333333 0.45625 0.8216666666666667 0.48125 0.8816666666666667 0.50875 0.8166666666666667 0.84375 0.8016666666666666 0.845 0.7833333333333333 0.86125 0.7783333333333333 0.87625 0.7533333333333333 0.87625 0.745 0.90125 0.7166666666666667 0.9075 0.6883333333333334 0.93375 0.7233333333333334 0.95125 0.7283333333333334 0.96625 0.8 0.9825 0.825 0.97875 0.8733333333333333 0.95 0.8716666666666667 0.94375 0.8816666666666667 0.93625 0.8816666666666667 0.915 0.8733333333333333 0.9075 0.9116666666666666 0.85625 0.9183333333333333 0.86125 0.9316666666666666 0.855 0.9666666666666667 0.855 0.9783333333333334 0.86125 0.9983333333333333 0.8625 0.9983333333333333 0.19125 0.985 0.165 0.9516666666666667 0.15625 0.9416666666666667 0.14125 0.93 0.14125 0.9216666666666666 0.1225 0.8766666666666667 0.12375 0.845 0.1375 0.84 0.17625 0.8266666666666667 0.19125 0.815 0.2 0.795 0.19875 0.7783333333333333 0.21125 0.7633333333333333 0.21375
C:\Users\nicho\Dokumen\Projects\FOOD\dataset\21 (ayam pop)\labels\ayam_pop-105-_jpg.rf.7f6d445ec199200a65ab134a8327606c.txt  |  4 0.695 0.64625 0.6933333333333334 0.6725 0.705 0.7 0.735 0.7125 0.7733333333333333 0.71875 0.7966666666666666 0.7175 0.845 0.69625 0.8683333333333333 0.6725 0.8716666666666667 0.6525 0.8683333333333333 0.64375 0.8383333333333334 0.66125 0.815 0.66625 0.7833333333333333 0.6625 0.7666666666666667 0.66625 0.76 0.66125 0.75 0.66375 0.74 0.65625 0.7266666666666667 0.66 0.7166666666666667 0.64875
C:\Users\nicho\Dokumen\Projects\FOOD\dataset\21 (ayam pop)\labels\ayam_pop-105-_jpg.rf.7f6d445ec199200a65ab134a8327606c.txt  |  4 0.78 0.49 0.7816666666666666 0.49875 0.7733333333333333 0.50125 0.8 0.54375 0.7916666666666666 0.59375 0.7383333333333333 0.6 0.7066666666666667 0.61125 0.735 0.645 0.7933333333333333 0.66375 0.825 0.665 0.8866666666666667 0.635 0.9116666666666666 0.59375 0.915 0.555 0.8983333333333333 0.52375 0.88 0.51 0.8166666666666667 0.48625
C:\Users\nicho\Dokumen\Projects\FOOD\dataset\21 (ayam pop)\labels\ayam_pop-105-_jpg.rf.7f6d445ec199200a65ab134a8327606c.txt  |  4 0.6883333333333334 0.4175 0.69 0.435 0.7516666666666667 0.4875 0.8166666666666667 0.48 0.8633333333333333 0.45375 0.8733333333333333 0.435 0.88 0.41125 0.8666666666666667 0.36125 0.8566666666666667 0.3525 0.805 0.33625 0.785 0.38125 0.7433333333333333 0.405 0.7116666666666667 0.41625
C:\Users\nicho\Dokumen\Projects\FOOD\dataset\21 (ayam pop)\labels\ayam_pop-105-_jpg.rf.7f6d445ec199200a65ab134a8327606c.txt  |  13 0.105 0.01 0.08333333333333333 0.04 0.08333333333333333 0.05 0.07 0.06125 0.07 0.08375 0.04 0.11625 0.03166666666666667 0.13625 0 0.1425 0 0.21125 0.005 0.21625 0.05333333333333334 0.22 0.085 0.21625 0.115 0.20625 0.13166666666666665 0.20875 0.14333333333333334 0.2275 0.145 0.245 0.135 0.2625 0.14166666666666666 0.26875 0.13666666666666666 0.29125 0.165 0.34125 0.18 0.34875 0.185 0.34625 0.18333333333333332 0.28125 0.19166666666666668 0.2675 0.185 0.245 0.19 0.23625 0.21333333333333335 0.23125 0.23166666666666666 0.215 0.23666666666666666 0.19375 0.245 0.19 0.2683333333333333 0.195 0.31666666666666665 0.19 0.3516666666666667 0.20875 0.36 0.2075 0.37666666666666665 0.1925 0.4066666666666667 0.1925 0.42333333333333334 0.205 0.47 0.20875 0.48 0.19625 0.5516666666666666 0.185 0.5633333333333334 0.20875 0.5916666666666667 0.21625 0.6016666666666667 0.2475 0.6183333333333333 0.27 0.635 0.27 0.66 0.265 0.685 0.24125 0.77 0.2075 0.7716666666666666 0.19875 0.7883333333333333 0.185 0.81 0.18875 0.825 0.18375 0.8383333333333334 0.16 0.8466666666666667 0.12 0.8416666666666667 0.1025 0.8166666666666667 0.1025 0.805 0.1225 0.7833333333333333 0.135 0.7716666666666666 0.1225 0.77 0.1025 0.7633333333333333 0.095 0.7516666666666667 0.09125 0.7466666666666667 0.08 0.7266666666666667 0.0775 0.7183333333333334 0.06875 0.7183333333333334 0.04875 0.7333333333333333 0.01875 0.735 0 0.115 0
C:\Users\nicho\Dokumen\Projects\FOOD\dataset\21 (ayam pop)\labels\ayam_pop-34-_jpg.rf.9904482370e19fb2d5665044cced0e25.txt  |  4 0.3117408906882591 0.9488636363636364 0.3097165991902834 0.9753787878787878 0.3259109311740891 0.9981060606060606 0.7246963562753036 0.9981060606060606 0.7327935222672065 0.9924242424242424 0.7165991902834008 0.9621212121212122 0.6862348178137652 0.9375 0.6336032388663968 0.9223484848484849 0.6194331983805668 0.9090909090909091 0.6012145748987854 0.8598484848484849 0.5404858299595142 0.8162878787878788 0.48785425101214575 0.8503787878787878 0.3765182186234818 0.9034090909090909
